destination,referenced_by_pages,referenced_by_top_nav,referenced_by_sidebar,referenced_by_footer,reference_count
/ministry-of-health,/agri-transformation; /emergency-response; /greater-aba-development-authority; /health-wellness; /health-wellness-2; /live-incident-feed; /ministry-of-agriculture-3; /ministry-of-communication; /ministry-of-health; /ministry-of-health-2; /secure-abia-2; /serve-abia; /women-gender-affairs-2,0,16,0,13
/jobs-abia,/ai-academy-2; /border-trade-logistics-2; /commerce-trade-2; /connect-abia; /cooperatives-micro-credit-2; /education-learning-2; /employer-portal; /environment-sustainability-2; /governors-command-center; /health-wellness-2; /housing-urban-development-2; /jobs-abia; /ministry-of-agriculture-2; /science-technology-2; /secure-abia-3; /serve-abia; /social-welfare-2; /tourism-culture-2; /transport-mobility-2,0,24,0,19
/ai-academy,/ai-academy-2; /border-trade-logistics-2; /civil-service-portal; /connect-abia; /jobs-abia; /serve-abia,0,6,0,6
/connect-abia,/ai-academy-2; /border-trade-logistics-2; /connect-abia; /jobs-abia; /serve-abia,0,6,0,5
/science-technology,/ai-academy-2; /science-technology,0,2,0,2
/news-press-center,/ai-academy-2; /border-trade-logistics-2; /civil-service-portal; /commerce-trade-2; /connect-abia; /cooperatives-micro-credit-2; /education-learning-2; /environment-sustainability-2; /governors-command-center; /health-wellness-2; /housing-urban-development-2; /jobs-abia; /ministry-of-agriculture-2; /news-press-center; /science-technology-2; /secure-abia-3; /serve-abia; /social-welfare-2; /tourism-culture-2; /transport-mobility-2; /water-resources-irrigation-2,0,22,0,21
/home-mobile,/build-abia-mobile; /citizen-identity-mobile; /civil-service-mobile; /connect-abia-mobile; /cooperatives-micro-credit-mobile; /digital-archives-heritage-mobile; /governors-command-center-mobile; /jobs-abia-mobile; /legal-institutional-registry-mobile; /ministry-of-agriculture-mobile; /ministry-of-agriculture-mobile-2; /ministry-of-health-mobile-2; /open-abia-mobile; /secure-abia-mobile-2; /serve-abia-mobile; /trade-logistics-mobile; /transport-mobility-hub-mobile; /women-gender-affairs-mobile,0,19,0,18
/,/citizen-identity-civil-registry; /civil-service-portal; /commerce-trade-2; /cooperatives-micro-credit-2; /diaspora-gateway; /education-learning-2; /emergency-crisis-response; /emergency-response; /environment-sustainability-2; /governors-command-center; /greater-aba-development-authority; /health-wellness-2; /housing-urban-development; /housing-urban-development-2; /live-incident-feed; /ministry-of-agriculture-2; /ministry-of-agriculture-3; /ministry-of-communication; /science-technology-2; /secure-abia-2; /social-welfare-2; /transport-mobility-2; /water-resources-irrigation-2; /women-gender-affairs-2,0,25,0,24
/citizen-identity-civil-registry,/citizen-identity-civil-registry,0,1,0,1
/ministry-of-communication,/emergency-response; /greater-aba-development-authority; /live-incident-feed; /ministry-of-agriculture-3; /ministry-of-communication; /secure-abia-2,0,6,0,6
/greater-aba-development-authority,/emergency-response; /greater-aba-development-authority; /live-incident-feed; /ministry-of-agriculture-3; /ministry-of-communication; /secure-abia-2,0,6,0,6
/sme-growth-support,/employer-portal,0,1,0,1
/aba-20,/housing-urban-development,0,1,0,1
/ministry-of-health-mobile,/ministry-of-health-mobile-2,0,1,0,1
/open-abia-mobile,/open-abia-mobile,0,2,0,1
/land-property,/serve-abia,0,1,0,1
/digital-archives-heritage,/state-archives; /tourism-culture,0,2,0,2
/water-resources-irrigation,/utilities-environment,0,1,0,1
/women-gender-affairs,/women-gender-affairs; /women-gender-affairs-2,0,2,0,2
